stock_code,trade_date,open,close,high,low,volume,change,change_pct,update_time
000001,2025-10-24,11.6,11.56,11.68,11.55,98047500,-0.07000000000000028,-0.6018916595012922,2025-10-25 22:24:42
000002,2025-10-24,6.36,6.36,6.39,6.34,73857900,-0.019999999999999574,-0.3134796238244447,2025-10-25 22:24:42
000004,2025-10-24,13.8,13.44,13.98,13.25,10841400,-0.3600000000000012,-2.6086956521739215,2025-10-25 22:24:42
000006,2025-10-24,14.35,14.04,15.5,13.53,147325400,-0.11000000000000121,-0.7773851590106092,2025-10-25 22:24:42
000007,2025-10-24,7.39,7.38,7.49,7.34,5261200,-0.009999999999999787,-0.1353179972936372,2025-10-25 22:24:42
000008,2025-10-24,2.94,2.9,3.01,2.89,70711600,-0.020000000000000018,-0.6849315068493157,2025-10-25 22:24:42
000009,2025-10-24,10.99,10.97,11.08,10.83,45099200,-0.03999999999999915,-0.3633060853769223,2025-10-25 22:24:43
000010,2025-10-24,3.94,3.87,4.02,3.86,31457200,-0.10999999999999988,-2.763819095477384,2025-10-25 22:24:43
000011,2025-10-24,11.0,10.35,11.07,10.22,45947000,-0.9500000000000011,-8.407079646017708,2025-10-25 22:24:43
000012,2025-10-24,4.68,4.64,4.71,4.63,18186700,-0.0600000000000005,-1.2765957446808616,2025-10-25 22:24:43
000014,2025-10-24,22.0,21.65,22.5,20.88,25659900,-0.8100000000000023,-3.6064113980409713,2025-10-25 22:24:43
000016,2025-10-24,5.5,5.61,5.69,5.43,107090800,0.05000000000000071,0.8992805755395812,2025-10-25 22:24:43
000017,2025-10-24,7.12,6.87,7.12,6.86,26248600,-0.29000000000000004,-4.050279329608939,2025-10-25 22:24:44
000019,2025-10-24,7.33,7.14,7.4,7.11,69871100,-0.4900000000000002,-6.4220183486238565,2025-10-25 22:24:44
000020,2025-10-24,14.73,14.56,14.89,14.47,9625900,-0.1899999999999995,-1.2881355932203358,2025-10-25 22:24:44
000021,2025-10-24,28.5,29.64,30.1,28.45,173818700,1.6799999999999997,6.008583690987123,2025-10-25 22:24:44
000025,2025-10-24,19.88,18.51,21.02,18.44,52625000,-0.6099999999999994,-3.1903765690376535,2025-10-25 22:24:44
000026,2025-10-24,16.87,16.7,16.91,16.65,6204700,-0.10000000000000142,-0.5952380952381037,2025-10-25 22:24:44
000027,2025-10-24,7.68,7.25,7.74,7.19,213011300,-0.2599999999999998,-3.462050599201062,2025-10-25 22:24:44
000028,2025-10-24,25.7,25.44,25.72,25.43,2883800,-0.25,-0.9731413001167768,2025-10-25 22:24:45
000029,2025-10-24,28.86,28.36,29.27,28.16,6325900,-1.0700000000000003,-3.6357458375807012,2025-10-25 22:24:45
000030,2025-10-24,5.59,5.56,5.62,5.55,7579600,-0.03000000000000025,-0.53667262969589,2025-10-25 22:24:45
000031,2025-10-24,3.37,3.25,3.39,3.24,28021700,-0.1200000000000001,-3.5608308605341277,2025-10-25 22:24:45
000032,2025-10-24,20.52,20.58,20.79,20.45,19507100,-0.030000000000001137,-0.1455604075691467,2025-10-25 22:24:45
000034,2025-10-24,39.21,39.45,39.56,39.21,18498200,0.35999999999999943,0.9209516500383714,2025-10-25 22:24:45
000035,2025-10-24,5.76,5.78,5.83,5.71,26898900,0.040000000000000036,0.6968641114982584,2025-10-25 22:24:46
000036,2025-10-24,4.09,4.04,4.09,4.01,15444700,-0.03000000000000025,-0.7371007371007432,2025-10-25 22:24:46
000037,2025-10-24,9.1,8.87,9.12,8.86,12582700,-0.25,-2.741228070175439,2025-10-25 22:24:46
000039,2025-10-24,8.3,8.22,8.34,8.21,25738100,-0.08000000000000007,-0.9638554216867478,2025-10-25 22:24:46
000042,2025-10-24,8.19,8.04,8.2,8.0,5179800,-0.14000000000000057,-1.711491442542794,2025-10-25 22:24:46
000045,2025-10-24,14.99,14.19,15.07,14.12,52862500,-1.120000000000001,-7.31548007838015,2025-10-25 22:24:46
000048,2025-10-24,17.0,17.03,17.55,16.9,47938800,0.08999999999999986,0.5312868949232578,2025-10-25 22:24:47
000049,2025-10-24,27.1,27.4,27.46,27.0,8704200,0.33999999999999986,1.2564671101256464,2025-10-25 22:24:47
000050,2025-10-24,9.51,9.49,9.55,9.4,20319500,-0.03999999999999915,-0.4197271773347235,2025-10-25 22:24:47
000055,2025-10-24,4.39,4.35,4.44,4.34,12161600,-0.05000000000000071,-1.1363636363636525,2025-10-25 22:24:47
000056,2025-10-24,2.44,2.37,2.47,2.36,43380500,-0.06999999999999984,-2.868852459016387,2025-10-25 22:24:47
000058,2025-10-24,12.3,10.78,12.3,10.43,130505600,-0.40000000000000036,-3.577817531305907,2025-10-25 22:24:47
000059,2025-10-24,5.16,5.08,5.17,5.07,19952500,-0.08000000000000007,-1.5503875968992262,2025-10-25 22:24:47
000060,2025-10-24,5.65,5.6,5.7,5.55,101457500,-0.03000000000000025,-0.5328596802841963,2025-10-25 22:24:48
000061,2025-10-24,9.02,8.87,9.07,8.75,30225000,-0.20000000000000107,-2.2050716648291186,2025-10-25 22:24:48
000062,2025-10-24,27.53,27.83,27.95,27.48,15921200,0.03999999999999915,0.14393666786613582,2025-10-25 22:24:48
000063,2025-10-24,48.8,49.85,50.13,48.47,180263300,1.6600000000000037,3.4446980701390406,2025-10-25 22:24:48
000065,2025-10-24,11.48,11.28,11.5,11.28,35923800,-0.28000000000000114,-2.4221453287197328,2025-10-25 22:24:48
000066,2025-10-24,16.57,16.46,16.67,16.31,73326700,0.10000000000000142,0.6112469437652899,2025-10-25 22:24:48
000068,2025-10-24,3.76,3.8,3.85,3.76,74307200,-0.07000000000000028,-1.8087855297157693,2025-10-25 22:24:49
000069,2025-10-24,2.47,2.43,2.51,2.42,83904500,-0.06000000000000005,-2.4096385542168695,2025-10-25 22:24:49
000070,2025-10-24,10.52,10.52,11.29,10.32,137000000,0.10999999999999943,1.056676272814596,2025-10-25 22:24:49
000078,2025-10-24,2.58,2.53,2.59,2.52,23222600,-0.050000000000000266,-1.9379844961240413,2025-10-25 22:24:49
000088,2025-10-24,4.59,4.56,4.64,4.56,83603400,-0.10000000000000053,-2.1459227467811273,2025-10-25 22:24:49
000089,2025-10-24,7.33,7.25,7.41,7.23,32160100,-0.15000000000000036,-2.0270270270270316,2025-10-25 22:24:49
